com.hrm.scripts.ExplicitLoginScenario 2017-01-17 12:37:13,350 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 12:37:13,471 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 12:37:13,476 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:37:33,393 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:37:33,515 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:37:33,523 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 12:38:30,740 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLogo 2017-01-17 12:38:30,859 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 12:38:30,865 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 12:39:40,062 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLogo 2017-01-17 12:39:40,185 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 12:39:40,193 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:44,144 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:44,267 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:44,275 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:50,620 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:50,653 com.hrm.common.BaseTest.preCondition(BaseTest.java:119) explicit login required 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:51,871 com.hrm.common.BaseTest.postCondition(BaseTest.java:134) explicit logout required 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:52,927 com.hrm.common.BaseTest.closeBrowser(BaseTest.java:79) Execution completed on Browser:chrome 
com.hrm.scripts.VerifyLogo 2017-01-17 12:40:53,014 com.hrm.common.BaseTest.closeFrameWork(BaseTest.java:66) finalizing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:41:03,667 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:41:03,788 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:41:03,796 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:41:08,214 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:41:08,246 com.hrm.common.BaseTest.preCondition(BaseTest.java:111) implicit login 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:43:14,814 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:43:14,950 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:43:14,961 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 12:43:19,527 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
